method,metric,mean,std,median,min,max
Adam,accuracy,0.8452125,0.07448703182208205,0.8614999999999999,0.627,0.9640000000000001
MetaOpt,accuracy,0.8786208333333333,0.07026991765350805,0.8987499999999999,0.6765000000000001,0.9834999999999999
SGD,accuracy,0.8792791666666666,0.07435636415301673,0.90025,0.6659999999999999,0.9840000000000001
Adam,precision,0.868963987681601,0.06438884265648946,0.882275481054893,0.6433130544635962,0.9676822066822066
MetaOpt,precision,0.895359540712985,0.06044526368241901,0.9114375971250972,0.7036022341951135,0.984937062937063
SGD,precision,0.8961740818916565,0.0639778252401592,0.9142288961038961,0.6898274799031379,0.9853484848484848
Adam,recall,0.8452125,0.07448703182208205,0.8614999999999999,0.627,0.9640000000000001
MetaOpt,recall,0.8786208333333333,0.07026991765350805,0.8987499999999999,0.6765000000000001,0.9834999999999999
SGD,recall,0.8792791666666666,0.07435636415301673,0.90025,0.6659999999999999,0.9840000000000001
Adam,macro_f1,0.8355143447650678,0.0856301403689383,0.8565510066807853,0.5777559356968752,0.9638761969249249
MetaOpt,macro_f1,0.8720073351899151,0.07995705361711337,0.8968367068107107,0.6356446794965904,0.9834353979578101
SGD,macro_f1,0.8721895065869164,0.08466768084231285,0.8958201776627166,0.6201898140386489,0.9839573175362649
Adam,roc_auc,0.9322158333333334,0.05888543355545584,0.95025,0.7225,0.9951000000000001
MetaOpt,roc_auc,0.9500583333333333,0.045643714457390384,0.966,0.7859,0.9978
SGD,roc_auc,0.9517358333333333,0.04734962893882332,0.9677,0.7856000000000001,0.9974
Adam,pr_auc,0.9398349699492115,0.05183811866711122,0.9548831532438149,0.747647738845262,0.9965497154805978
MetaOpt,pr_auc,0.9565301014132497,0.03951233410063195,0.9708608751070051,0.8042058628548954,0.9983790792540792
SGD,pr_auc,0.9587701376433951,0.04041326753357473,0.973351158961008,0.8125169987262478,0.9978272422022423
Adam,attack_recall,0.8984833333333333,0.08070445962845908,0.9219999999999999,0.6609999999999999,0.9940000000000001
MetaOpt,attack_recall,0.8992833333333333,0.07358424924326318,0.917,0.696,0.992
SGD,attack_recall,0.9076083333333334,0.07014813806873134,0.9205000000000001,0.687,0.992
Adam,false_positive_rate,0.20805833333333332,0.1335792526431207,0.16899999999999998,0.017,0.5539999999999999
MetaOpt,false_positive_rate,0.14204166666666668,0.1152459114157167,0.10700000000000001,0.01,0.5479999999999999
SGD,false_positive_rate,0.14905,0.1225789301537873,0.1145,0.016,0.509
