stage,method,macro_f1,accuracy,precision,recall,pr_auc,attack_recall
step_0,Adam,0.36137603905554766,0.4174458333333334,0.414889072234704,0.4174458333333334,0.5005175817823244,0.6217666666666666
step_0,MetaOpt,0.36137603905554766,0.4174458333333334,0.414889072234704,0.4174458333333334,0.5005175817823244,0.6217666666666666
step_0,SGD,0.36137603905554766,0.4174458333333334,0.414889072234704,0.4174458333333334,0.5005175817823244,0.6217666666666666
step_1,Adam,0.38202341720019817,0.4335458333333333,0.44037886950117017,0.4335458333333333,0.5327231966134713,0.6323000000000001
step_1,MetaOpt,0.36749120694992915,0.4215666666666666,0.42362323129531426,0.4215666666666666,0.5124348348081156,0.6245833333333334
step_1,SGD,0.5397635870595003,0.5819124999999999,0.6134457295248897,0.5819124999999999,0.7124364674608086,0.7889
step_20,Adam,0.8355143447650679,0.8452125,0.868963987681601,0.8452125,0.9398349699492115,0.8984833333333334
step_20,MetaOpt,0.8720073351899152,0.8786208333333334,0.8953595407129851,0.8786208333333334,0.9565301014132496,0.8992833333333334
step_20,SGD,0.8721895065869165,0.8792791666666667,0.8961740818916565,0.8792791666666667,0.958770137643395,0.9076083333333335
best_test_curve_descriptive_only,Adam,0.8505641566130694,,,,,
best_test_curve_descriptive_only,MetaOpt,0.9048088667154371,,,,,
best_test_curve_descriptive_only,SGD,0.888733778871957,,,,,
validation_selected_stop,Adam,0.8343213173738159,0.8439458333333334,0.8675004930731035,0.8439458333333334,0.9385253642511528,0.8993500000000001
validation_selected_stop,MetaOpt,0.8702461796920883,0.8769958333333332,0.8928884738283733,0.8769958333333332,0.9553375727923106,0.8969250000000001
validation_selected_stop,SGD,0.8695004879903354,0.8766541666666667,0.8934651418969676,0.8766541666666667,0.9569867412695664,0.9082916666666668
