grain,step,metric,shot,baseline,wins,ties,losses,n
seed_attack_shot,1,macro_f1,1,SGD,0,0,30,30
seed_attack_shot,1,macro_f1,3,SGD,0,0,30,30
seed_attack_shot,1,macro_f1,5,SGD,0,0,30,30
seed_attack_shot,1,macro_f1,10,SGD,1,0,29,30
seed_attack_shot,1,macro_f1,1,Adam,5,1,24,30
seed_attack_shot,1,macro_f1,3,Adam,6,0,24,30
seed_attack_shot,1,macro_f1,5,Adam,5,0,25,30
seed_attack_shot,1,macro_f1,10,Adam,6,0,24,30
seed_attack_shot,1,pr_auc,1,SGD,0,0,30,30
seed_attack_shot,1,pr_auc,3,SGD,0,0,30,30
seed_attack_shot,1,pr_auc,5,SGD,0,0,30,30
seed_attack_shot,1,pr_auc,10,SGD,0,0,30,30
seed_attack_shot,1,pr_auc,1,Adam,0,0,30,30
seed_attack_shot,1,pr_auc,3,Adam,0,0,30,30
seed_attack_shot,1,pr_auc,5,Adam,0,0,30,30
seed_attack_shot,1,pr_auc,10,Adam,0,0,30,30
seed_attack_shot,1,attack_recall,1,SGD,12,2,16,30
seed_attack_shot,1,attack_recall,3,SGD,12,1,17,30
seed_attack_shot,1,attack_recall,5,SGD,9,4,17,30
seed_attack_shot,1,attack_recall,10,SGD,8,5,17,30
seed_attack_shot,1,attack_recall,1,Adam,5,10,15,30
seed_attack_shot,1,attack_recall,3,Adam,6,8,16,30
seed_attack_shot,1,attack_recall,5,Adam,5,8,17,30
seed_attack_shot,1,attack_recall,10,Adam,4,9,17,30
seed_attack_shot,20,macro_f1,1,SGD,16,0,14,30
seed_attack_shot,20,macro_f1,3,SGD,14,0,16,30
seed_attack_shot,20,macro_f1,5,SGD,12,0,18,30
seed_attack_shot,20,macro_f1,10,SGD,14,0,16,30
seed_attack_shot,20,macro_f1,1,Adam,22,0,8,30
seed_attack_shot,20,macro_f1,3,Adam,27,0,3,30
seed_attack_shot,20,macro_f1,5,Adam,27,0,3,30
seed_attack_shot,20,macro_f1,10,Adam,26,0,4,30
seed_attack_shot,20,pr_auc,1,SGD,15,0,15,30
seed_attack_shot,20,pr_auc,3,SGD,9,0,21,30
seed_attack_shot,20,pr_auc,5,SGD,9,0,21,30
seed_attack_shot,20,pr_auc,10,SGD,10,0,20,30
seed_attack_shot,20,pr_auc,1,Adam,24,0,6,30
seed_attack_shot,20,pr_auc,3,Adam,24,0,6,30
seed_attack_shot,20,pr_auc,5,Adam,25,0,5,30
seed_attack_shot,20,pr_auc,10,Adam,24,0,6,30
seed_attack_shot,20,attack_recall,1,SGD,15,1,14,30
seed_attack_shot,20,attack_recall,3,SGD,11,1,18,30
seed_attack_shot,20,attack_recall,5,SGD,11,4,15,30
seed_attack_shot,20,attack_recall,10,SGD,9,4,17,30
seed_attack_shot,20,attack_recall,1,Adam,15,0,15,30
seed_attack_shot,20,attack_recall,3,Adam,13,1,16,30
seed_attack_shot,20,attack_recall,5,Adam,12,0,18,30
seed_attack_shot,20,attack_recall,10,Adam,13,1,16,30
seed_attack_shot,curve,curve_auc,1,SGD,3,0,27,30
seed_attack_shot,curve,curve_auc,3,SGD,2,0,28,30
seed_attack_shot,curve,curve_auc,5,SGD,2,0,28,30
seed_attack_shot,curve,curve_auc,10,SGD,3,0,27,30
seed_attack_shot,curve,curve_auc,1,Adam,26,0,4,30
seed_attack_shot,curve,curve_auc,3,Adam,28,0,2,30
seed_attack_shot,curve,curve_auc,5,Adam,28,0,2,30
seed_attack_shot,curve,curve_auc,10,Adam,27,0,3,30
paired_task,1,macro_f1,all,SGD,786,2056,9158,12000
paired_task,1,macro_f1,all,Adam,849,8003,3148,12000
paired_task,20,macro_f1,all,SGD,2936,5875,3189,12000
paired_task,20,macro_f1,all,Adam,5597,4349,2054,12000
